state,quarter,year,qtr_num,admin_period,ca_count,cb_count,rc_count,ulp_total,rc_certified,rc_cert_rate,ca_employees,rc_employees,ca_median_duration,rc_median_duration,ca_multi_allege_pct,n_retaliation,n_coercion,n_coercive_rules,n_bargaining,n_discrimination,n_surveillance,ca_count_lag1,ulp_total_lag1,n_retaliation_lag1,ca_count_lag2,ulp_total_lag2,n_retaliation_lag2,ca_count_lag4,ulp_total_lag4,n_retaliation_lag4,ca_yoy,rc_yoy
AK,2013Q1,2013,1,1_Pro-Labor_Expansion,27,3,2,30,1,0.5,78.0,52.5,112.0,314.5,0.9629629629629629,5,2,0,16,11,3,,,,,,,,,,,
AK,2013Q2,2013,2,1_Pro-Labor_Expansion,10,3,4,13,0,0.0,23.0,13.5,61.0,78.5,0.9,1,0,0,7,0,1,27.0,30.0,5.0,,,,,,,,
AK,2013Q3,2013,3,1_Pro-Labor_Expansion,10,2,3,12,2,0.6666666666666666,216.5,26.0,123.5,125.0,0.9,0,0,0,8,1,0,10.0,13.0,1.0,27.0,30.0,5.0,,,,,
AK,2013Q4,2013,4,1_Pro-Labor_Expansion,25,1,3,26,2,0.6666666666666666,200.0,4.0,68.0,49.0,1.0,6,3,1,15,6,6,10.0,12.0,0.0,10.0,13.0,1.0,,,,,
AK,2014Q1,2014,1,1_Pro-Labor_Expansion,16,3,4,19,2,0.5,56.5,9.5,188.0,39.0,0.9375,3,3,2,8,6,1,25.0,26.0,6.0,10.0,12.0,0.0,27.0,30.0,5.0,-40.74074074074075,100.0
AK,2014Q2,2014,2,1_Pro-Labor_Expansion,11,0,4,11,2,0.5,13.0,7.0,166.0,55.0,1.0,2,4,0,7,2,2,16.0,19.0,3.0,25.0,26.0,6.0,10.0,13.0,1.0,10.000000000000009,0.0
AK,2014Q3,2014,3,1_Pro-Labor_Expansion,29,6,1,35,0,0.0,50.0,11.0,111.0,262.0,1.0,11,4,1,16,13,8,11.0,11.0,2.0,16.0,19.0,3.0,10.0,12.0,0.0,190.0,-66.66666666666667
AK,2014Q4,2014,4,1_Pro-Labor_Expansion,20,2,3,22,3,1.0,111.0,5.0,72.0,61.0,1.0,5,1,1,13,9,1,29.0,35.0,11.0,11.0,11.0,2.0,25.0,26.0,6.0,-19.999999999999996,0.0
AK,2015Q1,2015,1,1_Pro-Labor_Expansion,9,4,2,13,2,1.0,102.0,11.0,292.0,37.0,1.0,2,0,0,7,3,0,20.0,22.0,5.0,29.0,35.0,11.0,16.0,19.0,3.0,-43.75,-50.0
AK,2015Q2,2015,2,1_Pro-Labor_Expansion,10,3,1,13,0,0.0,151.0,5.0,284.0,45.0,1.0,6,0,2,6,5,0,9.0,13.0,2.0,20.0,22.0,5.0,11.0,11.0,2.0,-9.090909090909093,-75.0
AK,2015Q3,2015,3,1_Pro-Labor_Expansion,9,1,1,10,1,1.0,23.0,21.0,53.0,62.0,1.0,3,0,0,6,5,0,10.0,13.0,6.0,9.0,13.0,2.0,29.0,35.0,11.0,-68.96551724137932,0.0
AK,2015Q4,2015,4,1_Pro-Labor_Expansion,10,4,2,14,1,0.5,175.0,6.5,114.5,28.5,1.0,2,2,0,6,6,3,9.0,10.0,3.0,10.0,13.0,6.0,20.0,22.0,5.0,-50.0,-33.333333333333336
AK,2016Q1,2016,1,1_Pro-Labor_Expansion,6,11,2,17,1,0.5,20.5,3.5,94.0,24.0,1.0,1,0,0,3,4,1,10.0,14.0,2.0,9.0,10.0,3.0,9.0,13.0,2.0,-33.333333333333336,0.0
AK,2016Q2,2016,2,1_Pro-Labor_Expansion,9,11,2,20,1,0.5,101.0,11.5,76.0,39.5,1.0,2,2,0,6,3,4,6.0,17.0,1.0,10.0,14.0,2.0,10.0,13.0,6.0,-9.999999999999998,100.0
AK,2016Q3,2016,3,1_Pro-Labor_Expansion,5,1,1,6,0,0.0,10.0,3.0,99.0,8.0,1.0,1,1,0,2,1,1,9.0,20.0,2.0,6.0,17.0,1.0,9.0,10.0,3.0,-44.44444444444444,0.0
AK,2016Q4,2016,4,1_Pro-Labor_Expansion,6,6,0,12,0,,200.0,,112.0,,1.0,0,2,1,4,1,3,5.0,6.0,1.0,9.0,20.0,2.0,10.0,14.0,2.0,-40.0,-100.0
AK,2017Q1,2017,1,2_Employer-Favorable,27,11,3,38,1,0.3333333333333333,19.0,7.0,50.0,30.0,1.0,4,2,3,19,3,2,6.0,12.0,0.0,5.0,6.0,1.0,6.0,17.0,1.0,350.0,50.0
AK,2017Q2,2017,2,2_Employer-Favorable,12,5,3,17,2,0.6666666666666666,60.0,9.0,64.5,21.0,1.0,5,2,1,8,4,1,27.0,38.0,4.0,6.0,12.0,0.0,9.0,20.0,2.0,33.33333333333333,50.0
AK,2017Q3,2017,3,2_Employer-Favorable,12,0,0,12,0,,200.0,,22.0,,1.0,2,1,1,6,2,1,12.0,17.0,5.0,27.0,38.0,4.0,5.0,6.0,1.0,140.0,-100.0
AK,2017Q4,2017,4,2_Employer-Favorable,11,3,1,14,1,1.0,200.0,150.0,54.0,28.0,1.0,2,0,0,9,2,0,12.0,12.0,2.0,12.0,17.0,5.0,6.0,12.0,0.0,83.33333333333333,inf
AK,2018Q1,2018,1,2_Employer-Favorable,16,3,0,19,0,,120.0,,171.0,,1.0,2,0,0,12,4,0,11.0,14.0,2.0,12.0,12.0,2.0,27.0,38.0,4.0,-40.74074074074075,-100.0
AK,2018Q2,2018,2,2_Employer-Favorable,30,11,2,41,1,0.5,120.0,12.0,91.0,19.5,1.0,10,0,2,14,10,6,16.0,19.0,2.0,11.0,14.0,2.0,12.0,17.0,5.0,150.0,-33.333333333333336
AK,2018Q3,2018,3,2_Employer-Favorable,25,6,2,31,1,0.5,120.0,18.5,159.5,134.0,1.0,5,1,2,14,9,3,30.0,41.0,10.0,16.0,19.0,2.0,12.0,12.0,2.0,108.33333333333334,inf
AK,2018Q4,2018,4,2_Employer-Favorable,29,3,1,32,0,0.0,100.0,3.0,78.0,8.0,1.0,7,7,1,13,4,2,25.0,31.0,5.0,30.0,41.0,10.0,11.0,14.0,2.0,163.63636363636363,0.0
AK,2019Q1,2019,1,2_Employer-Favorable,13,8,0,21,0,,120.0,,62.0,,1.0,4,1,1,6,2,1,29.0,32.0,7.0,25.0,31.0,5.0,16.0,19.0,2.0,-18.75,
AK,2019Q2,2019,2,2_Employer-Favorable,14,5,2,19,2,1.0,120.0,24.0,52.0,42.5,1.0,2,0,0,10,5,2,13.0,21.0,4.0,29.0,32.0,7.0,30.0,41.0,10.0,-53.333333333333336,0.0
AK,2019Q3,2019,3,2_Employer-Favorable,10,5,2,15,2,1.0,110.0,35.0,149.5,32.0,1.0,3,1,0,8,2,2,14.0,19.0,2.0,13.0,21.0,4.0,25.0,31.0,5.0,-60.0,0.0
AK,2019Q4,2019,4,2_Employer-Favorable,10,11,1,21,1,1.0,200.0,50.0,162.0,31.0,1.0,5,2,1,4,4,1,10.0,15.0,3.0,14.0,19.0,2.0,29.0,32.0,7.0,-65.51724137931035,0.0
AK,2020Q1,2020,1,2_Employer-Favorable,5,5,2,10,0,0.0,150.0,28.0,250.0,182.5,1.0,1,0,0,4,1,0,10.0,21.0,5.0,10.0,15.0,3.0,13.0,21.0,4.0,-61.53846153846154,inf
AK,2020Q2,2020,2,2_Employer-Favorable,11,2,0,13,0,,93.0,,68.0,,1.0,1,2,0,10,1,1,5.0,10.0,1.0,10.0,21.0,5.0,14.0,19.0,2.0,-21.42857142857143,-100.0
AK,2020Q3,2020,3,2_Employer-Favorable,1,1,8,2,4,0.5,200.0,13.0,87.0,88.5,1.0,0,0,0,0,0,0,11.0,13.0,1.0,5.0,10.0,1.0,10.0,15.0,3.0,-90.0,300.0
AK,2020Q4,2020,4,2_Employer-Favorable,2,1,0,3,0,,25.0,,31.0,,1.0,2,0,0,0,1,0,1.0,2.0,0.0,11.0,13.0,1.0,10.0,21.0,5.0,-80.0,-100.0
AK,2021Q1,2021,1,3_Labor_Restoration,3,0,1,3,1,1.0,203.0,16.0,34.0,94.0,1.0,1,1,0,2,0,2,2.0,3.0,2.0,1.0,2.0,0.0,5.0,10.0,1.0,-40.0,-50.0
AK,2021Q2,2021,2,3_Labor_Restoration,1,4,1,5,1,1.0,1.0,8.0,69.0,66.0,1.0,1,0,0,0,1,1,3.0,3.0,1.0,2.0,3.0,2.0,11.0,13.0,1.0,-90.9090909090909,inf
AK,2021Q3,2021,3,3_Labor_Restoration,7,0,0,7,0,,30.0,,397.0,,1.0,2,2,0,4,2,3,1.0,5.0,1.0,3.0,3.0,1.0,1.0,2.0,0.0,600.0,-100.0
AK,2021Q4,2021,4,3_Labor_Restoration,5,1,1,6,1,1.0,130.0,2.0,91.0,75.0,1.0,3,0,0,2,2,0,7.0,7.0,2.0,1.0,5.0,1.0,2.0,3.0,2.0,150.0,inf
AK,2022Q1,2022,1,3_Labor_Restoration,9,2,0,11,0,,171.0,,200.0,,1.0,2,2,0,7,1,2,5.0,6.0,3.0,7.0,7.0,2.0,3.0,3.0,1.0,200.0,-100.0
AK,2022Q2,2022,2,3_Labor_Restoration,8,2,3,10,2,0.6666666666666666,94.0,38.0,70.5,70.0,1.0,2,0,0,6,3,3,9.0,11.0,2.0,5.0,6.0,3.0,1.0,5.0,1.0,700.0,200.0
AK,2022Q3,2022,3,3_Labor_Restoration,4,3,3,7,1,0.3333333333333333,164.5,10.0,647.0,15.0,1.0,1,0,0,2,1,1,8.0,10.0,2.0,9.0,11.0,2.0,7.0,7.0,2.0,-42.85714285714286,inf
AK,2022Q4,2022,4,3_Labor_Restoration,3,2,3,5,2,0.6666666666666666,158.0,6.0,191.0,133.0,1.0,0,0,0,3,0,0,4.0,7.0,1.0,8.0,10.0,2.0,5.0,6.0,3.0,-40.0,200.0
AK,2023Q1,2023,1,3_Labor_Restoration,16,1,2,17,2,1.0,140.0,20.0,245.0,106.5,1.0,1,1,0,15,2,1,3.0,5.0,0.0,4.0,7.0,1.0,9.0,11.0,2.0,77.77777777777777,inf
AK,2023Q2,2023,2,3_Labor_Restoration,8,3,2,11,2,1.0,140.0,48.5,448.5,56.5,1.0,3,1,0,5,1,0,16.0,17.0,1.0,3.0,5.0,0.0,8.0,10.0,2.0,0.0,-33.333333333333336
AK,2023Q3,2023,3,4_Cemex_Era,3,2,0,5,0,,150.0,,205.0,,1.0,1,0,1,1,0,0,8.0,11.0,3.0,16.0,17.0,1.0,4.0,7.0,1.0,-25.0,-100.0
AK,2023Q4,2023,4,4_Cemex_Era,4,3,1,7,0,0.0,75.5,5.0,82.5,30.0,1.0,1,0,0,3,2,0,3.0,5.0,1.0,8.0,11.0,3.0,3.0,5.0,0.0,33.33333333333333,-66.66666666666667
AK,2024Q1,2024,1,4_Cemex_Era,7,0,1,7,1,1.0,150.0,379.0,104.0,75.0,1.0,2,0,1,5,3,1,4.0,7.0,1.0,3.0,5.0,1.0,16.0,17.0,1.0,-56.25,-50.0
